TranscribeMe|TranscribeMe makes audio content searchable and shareable, by converting speech to text, using a hybrid software + crowd-sourced platform. For complex audio with multiple speakers, overlapping conversations, ambient noise, or subject-specific jargon, we produce a 99% accurate, speaker identified transcription, using our proprietary...
Transatomic Power Corporation|Transatomic Power is a nuclear reactor design company. They are developing the WAMSR -- a Waste-Annihilating Molten Salt Reactor. WAMSR is a 520 MW molten salt reactor that converts high-level nuclear waste into clean, carbon-free electric power.
Trampoline Systems|Trampoline Systems is a London-based developer of Enterprise Social Computing software. Trampoline's technologies analyse email, blogs and other data sources inside the corporation to understand each person's expertise and map relationships across the corporate ecosystem.Trampoline Systems Ltd. was founded in 2003 and is based in...
Trajectory, Inc.|Trajectory simplifies the process of producing and distributing eBooks around the globe.
Trading Blox|Trading Blox™ was founded by Professional traders and software developers with a mission to develop a world-class trading and portfolio back-testing simulation platform for serious traders. We are focused on giving traders the tools to build robust trading systems and have confidence going forward into real trading.
PolySpot|"PolySpot designs and sells search and information access solutions designed to improve business efficiency in an environment where data volumes are increasing at an exponential rate.
PolySpot's solutions offer universal connectivity, covering all business needs and ensuring that companies can access the data they need, regardless of their..."
Pontaba|Pontaba is building Starlogic, the next generation 2D and 2.5D HTML5 cloud-based Games engine that will cut development time in half or more, deployed once, across multiple mobile and open web platforms. Starlogic includes an advanced realtime networking system that abstracts away the complex details of multiplayer / networked game...
Porch|Seattle based Porch.com is a home services platform that helps homeowners maintain their home and get projects done by connecting them with quality home improvement professionals.  Porch is available nationwide online, through the Porch App and serves as the exclusive in-store resource in over 1,720 Lowe's stores across the U.S. For more...
Portal Solutions|Portal Solutions LLC engages in designing, developing, implementing, and customizing SharePoint platform solutions. It offers advisory and technical services, including SharePoint intranet, extranet, and Website solutions; and implementation and cloud services. The company serves professional services firms, including law firms, government...
Portfolium|Portfolium partners with colleges & universities to help students connect learning with opportunity. The ePortfolio network helps connect 3.75M+ students from over 190 partner institutions with 50,000+ employers based on their proven skills and competencies. Portfolium's cloud-based platform empowers students with lifelong opportunities to...
AirPortr|AirPortr is a London-based technology company that works closely with the airline industry to develop and deliver innovative services that help passengers and their luggage travel to and through airports more freely. Our vision is to make global air travel simpler and easier.In 2016, we launched our Bag Check-In service with British Airways. Our...
Posse|Posse is the world’s first social search engine. Members build their own themed streets and fill them with favorite real world stores. They can then use Posse's search engine to find the favorite places of their friends and friends of friends. We rank results based on how closely a user is connected to the person who made the recommendation...
PostBeyond|We believe in challenging enterprises to adapt to the changing world of work.We do this by building innovative communication paths within the organization, and instilling a sense of belonging in the workforce. Some of our strong early partnerships include Molson Coors, Starbucks, and BMO.We provide customers with enterprise communications...
PostRocket|PostRocket helps Facebook Page owners improve their performance on getting into their fans’ Newsfeeds - without any previous Edgerank knowledge required. Page owners follow daily recommendations tailored from our analysis of their own Insights data to achieve the best performance by optimizing for type, frequency, content and timing of the posts....
Postcard on the Run|Postcard on the Run is an easy to use mobile application that allows users to take a photograph from their mobile phone, personalize it with a message and their own signature, and send it as a physical postcard anywhere in the world. With POTR, users can instantly create high-quality custom postcards for friends and family using enhanced...
Postcron|Postcron is an easy way to schedule posts on Social Media accounts.It works this way:1. The user selects the Facebook, Twitter, LinkedIn, Instagram, Pinterest and/or GooglePlus accounts to use.2. He writes the message, including photos or links.3. He specifies date and time for each post.4. Postcron publishes the post on the...
Posterbee|Posterbee organizes news, articles, slides and other ambient information for teams. It enables easy link and content sharing, getting feedback from team members as comments or Facebook-style likes and calculating relevancy of each content item.  Posterbee is available as a free service, with â‚¬5 and â‚¬25 paid packages for business users that...
Posto|Posto is an iPhone app that lets users keep track of and share with their favorite restaurants, hotels and nightlife venues around the world with their friends. Posto only shows you recommendations from friends and friend of friends, so all recommendations are relevant and reliable. 
PowWow Mobile|PowWow Mobile is redefining the mobile enterprise.Their rapid mobile app solution, SmartUX, enables organizations to simplify and extend business apps to mobile by modernizing and streamlining existing processes to deliver new and intelligent “enterprise to edge” experiences. Built on best of breed open technology, SmartUX provides a low-code, drag...
PowerStores|Webware.io is a complete tool kit designed to help small businesses easily navigate the digital world. Webware’s technology platform provides everything small businesses need to manage and grow a successful online presence, from designing and building websites and online stores, to SEO Marketing services and creating loyalty programs. With services...
Powtoon|Headquartered in London, Powtoon is a fast-paced cloud company and creative platform that breathes new life into the video and animated presentation space. Powtoon makes it possible for everyone to create awesome, attention grabbing videos and presentations. Fortune 500 companies, Ivy League universities, SMBs and over 18 million global users...
PrecisionHawk|PrecisionHawk is an information delivery company that combines unmanned aerial systems, remote sensing technologies and advanced data analytics to improve business operations and day-to-day decision making. PrecisionHawk brings value to an emerging market by offering an end-to-end solution for aerial data gathering, processing and analysis to...
PredicSis|PredicSis.ai is a predictive analytics platform which helps you to improve your sales and marketing efficiency through actionable insights. It brings you relevant predictions on each of your customers.In addition to the real-time predictions delivery, it also discovers the reasons of your customers' behavior. All this information can be...
Predictry|Predictry provides a machine learning technology envisaging user preferences, sentiments & behavior. Founded in 2013, it offers a world-class online Recommendation as a Service (RaaS), customised solutions for predictive analytics, big data mining services, business intelligence and also bespoke consulting in whatever industry you are in....
Preen.Me|Preen.Me is a next generation marketing platform, helping brands use customer voices to tell brand stories. Currently focused on the beauty industry, Preen.Me utilizes an army of nearly 10,000 content creators to create content + conversation on a massive scale for brands.With a hyper efficient business model based on social distribution, we...
Prehash Ltd|A cloud based data led assessment platform helping candidates land the best jobs and recruiters to make the right hiring decisions. Real-life coding challenges across multiple languages. Predictive analytics platform, reality mining and proprietary algorithmic based matching. Patent pending Prehash Index (PHI) taxonomy delivering peer to market...
Prepair|Prepair (a trading name of First Response Computer Services Ltd.) was launched in 2014 from a successful computer repair service, and exists to provide useful software for the computer repair business market in the UK.
Presdo|Presdo Match is the high-engagement event networking app that enables your event participants to connect through online and mobile apps.
PresenceID|PresenceID delivers SMB and enterprise unified identity management, provisioning, synchronization, and single sign-on across distributed on-premises data centers, public clouds and mobile to simplify cybersecurity, content management, big data, and analytics solutions.
Present|Present is a fast, fun, and captivating way to share your life with friends and family – anywhere, anytime. Begin capturing video, and immediately your friends and family can begin watching – it’s that easy. No uploads, no length limits, and no storage costs. You can even share to Facebook and Twitter. Imagine a world where people are connected...
Pressly|Pressly is a smart online platform that helps you aggregate the right content for your audience and establish your brand as a thought leader in your industry.Content is exactly like your audience: It’s all over the web, pinging from social networks to blogs via corporate websites and emails. Pressly allows all of this to happen in a single...
In Your Corner|In Your Corner is a marketplace for online counseling and coaching services. Through a secure, HIPAA-compliant platform, their service connects users with a carefully curated team of wellness professionals. By conducting online consultations via video chat, written journals, and even texting sessions, they have transformed traditional therapy into...
Prevedere|Prevedere, Inc is a SaaS Enterprise Software start-up focused on “Big Data” Predictive Analytics for large companies. Prevedere has developed the most advanced cognitive computing engine, ERIN(External Real-time INsights) developed for enterprise insights using external data in minutes. Prevedere has produced a one-of-a-kind “External Data...
Prevoty|Prevoty is a provider of web application security-as-a-service, is pioneering a new approach to securing your web applications. Prevoty's proprietary technology allows enterprise to embed security within the application, providing a highly personalized, configurable security solution for companies of all sizes and industries. Since its...
Prezma|Prezma was a revolutionary platform that enabled marketing managers to magically aggregate content that matters about their brands from all around the social web, filter it and present it in multiple interfaces: web widgets, website iframes, facebook pages and mobile apps. By integrating it with Facebook's Ads API, they could also turn the...
Prime Genomics|Prime Genomics, Inc. provides genetic biomarkers-on-demand as a service. It produces biomarkers with a fee-for-service arrangement or as part of licensing or collaboration agreement. The company also processes data from commercially available microarrays to produce results. Prime Genomics, Inc. was incorporated in 2011 and is based in San...
Primo Round|Primo Round is an #innovativestartup with a clear #idea: to redefine the way #events are organized, both online and offline. For this reason, they have developed a mobile platform that allows interaction and provides users’ behavioural data and feedback to marketers
PrintFu|Printfu is a PDF Search Engine run by Brandon Corbin.
PrintToPeer|The PrintToPeer remote management platform is a web-based dashboard that makes it easy to control your 3D printer from anywhere in the world, including queueing, starting and monitoring prints, and keeping track of your printer’s health. It is secure, mobile-friendly, and easy to use, with all of the information and controls that you need to manage...
Prior Knowledge|Prior Knowledge makes insight and predictions as easy as using a database, by building infer-structure -- infrastructure for inference. Veritable, their predictive database, goes beyond traditional big data analytics by learning the deep structure of data and generating predictions that reflect all of these relationships.The complex...
Prioria Robotics|Prioria Robotics is an engineering company founded in 2003 by University of Florida alumni and is located in Gainesville, Fla. Prioria is dedicated to solving some of the key problems of machine perception and autonomous systems in order to improve and develop new products. Prioria produces the Maveric unmanned aircraft system, whose unique onboard...
Prism Skylabs|Prism is a cloud-based video intelligence platform that transforms ordinary cameras into powerful business tools. Through computer vision, A.I., and machine learning, Prism unlocks valuable information from video that can be immediately understood, shared and acted upon. Leading companies in 80 countries around the world use Prism to better...
PrismaStar|Multi-channel consumer guidance technology, such as the PrismaStar Selector, a product search solution to help eTailers increase conversion rates of up to 133%.
Private.Me|Mission Statement: Internet users are in need of the ability to manage sensitive data privately. Private.Me mission is to deliver a platform that fulfills this need by delivering “forgetful” web services that provide its users the means to control who can access their private data. About: Using a patent pending system, Private.Me delivers a...
PrivateCore|PrivateCore enables private computing in the cloud by validating and securing OpenStack servers,  enabling  enterprises and service providers to create trusted computing pools.  PrivateCore vCage Manager software attests OpenStack servers to ensure their trustworthiness, and optional vCage Host software provides a hardened hypervisor and optional...
ProBinder|ProBinder formaly useKit,  is your secure shelf in the cloud. You can quickly share large files in a secure and easy way. All Files become instantly searchable. Forget about complicated FTP programs to share data.ProBinder is available for your Web browser, Android Tablet, iPad and other devices.ProBinder simplifies your teamwork - more time...
Problemsolutions24|Problemsolutions24 is an online platform that offers solutions to those who face daily professional problems. The platform covers the sectors of business, education, finance, health, law, news, entertainment, marketing, technology, and tourism.Problemsolutions24 was launched in November 2011 and is based in Dhaka, Bangladesh.
Producteev|Producteev is one of the leading free Task Management applications for Individuals and Teams connected to : Mac (Mac App Store), Windows Desktop, Web, iPhone, Android, IM (Gtalk, AIM, Yahoo Messenger...), EMail (send tasks to task@producteev.com), Gmail, GCal...
Productify|PRODUCTSUPPLIER:Upload Your ProductsEasily upload your products and images. Productify can understand a variety of import formats. Even match your Products with images.Create Online Product CatalogsOnce you products are uploaded to Productify, you can create online catalogs that can be searched, shared, exported in various...
Programeter|Programeter, made by SourceKibitzer, is an analytics company that offers effective, easy-to-use tool for software development teams to watch the progress and quality of their software projects. The company pays particular attention to the quality assurance, performance management and development efficiency areas. Founded in 2006,...
PromoteU|PromoteU is an angel-backed platform making it easier for startups to connect and work with college students. Emerging companies looking to build brand presence can recruit and hire students to be brand evangelists at over 600+ universities around the world. Startups can also use the platform to launch campus recruiting programs for internships...
Propeller|Propeller is a web platform to quickly create and update apps with an intuitive drag-and-drop interface. No code, no problem — even with no design or programming experience, you can make something beautiful.
Proposify|Proposify helps you write and design stunning proposal documents, collaborate with team members, and keep track of new business you pitch.By combining robust design tools with a user-friendly interface, it's easy for everyone to create gorgeous, professional proposals - no design experience required.Your account team can edit the same...
ProspectStream|SaaS based Prospect Management application built on Silverlight.
Copper|Copper is the only crm made for G Suite, works instantly and has an intuitive user experience. Designed for the teams who close deals, Copper is helping people focus on what’s important: authentic relationships.
Prot-On|Prot-On allows users and companies to keep control of their files wherever they are. They can protect and track the use of any copy of their documents and change, whenever they want, who can do what with them.It is free for home users and Freemium for professionals. There is also a corporate service (SaaS or on-premises) for enterprises and...
Protenus|The Protenus healthcare compliance analytics platform uses artificial intelligence to audit every access to patient records for the nation’s leading health systems. Providing healthcare leaders full insight into how health data is being used, and alerting privacy, security and compliance teams to inappropriate activity, Protenus helps our partner...
Proteus Agility|Fed up with inhuman enterprise project tracking tools, Agile Jedi gang up to build Eidos, humane project management software for human.Our world is rapidly changing at the speed that we have never dreamed of. Software projects which are built based on the old sequential model, aka Waterfall, cannot keep up with such pace and fails miserably....
Protochips|Protochips, Inc. is a rapidly growing early-stage company focused on providing the world's leading materials and life sciences research breakthrough analytical tools for targeted research and development of nano-scale materials. A fundamental problem exists today in that the tools used to observe and the tools used to work with nano-scale...
Proton Digital Systems|Proton Digital Systems is driving the revolution of high endurance low cost Flash solutions. Using its patented LDPC-based Flash Read Channel and Controller IP Solutions, Proton is able to dramatically extend the endurance of NAND Flash products versus currently available solutions – all with power requirements 50% less than current market...
Protonet|Protonet provides a social IT-infrastructure for small and medium-sized enterprises.The protonet box is a small box that combines hotspot functionality and network attached storage with a social network for small business. With the protonet software it becomes simple to store and share data within projects or departments and communicate...
Protégé Biomedical|"Protégé Biomedical is a company with a unique new line of hemostatic products developed to stop bleeding in animals and humans*.
Their hemostatic devices use a patent-pending compound of all-natural minerals designed to quickly stop bleeding in minor to severe wounds.
Protégé Biomedical will launch their first product, ClotIt, in September. ClotIt..."
Providence Surgery|Providence Surgery Centers is an Alaska-based company that owns and operates surgery centers.
Prowl|WiFi Security is a growing threat to small and large businesses. Hackers can steal information from you and your customers from your WiFi and their presence may even damage your reputation. By adding Prowl's security layer, you can have peace of mind that our preinstalled security features, such as Hoosegow, will trap malicious activity and...
Proxly|Proxly is a full stack platform for businesses and developers to build their own engaging mobile experiences powered by proximity and contextual relevance.
Pryv|Pryv developed and sells licenses of pryv.io, a sensitive and eHealth data middleware. Customizable solutions for medtech and connected health organizations, enabling people to track personal and health metrics outside of medical institutions, in their daily life, while still receiving critical monitoring and care.A set of services for...
Public Insight Corporation|Public Insight Corporation was founded in 2012 with the mission of bringing relevance, insight and clarity to public data. We believe that public data should be always be in a easy-to-understand and analyze format. We serve both constituents, businesses and governments alike, with the end goal of increasing communication and clarity between both...
